Digi-Key Part Number,Manufacturer Name,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,
478-1239-1-ND,AVX,0603YC104KAT2A,?,5,?,?,
CAT24C256WI-GT3OSCT-ND,OnSemi,CAT24C256WI-GT3,?,1,?,?,
P10KGCT-ND,Panasonic,ERJ-3GEYJ103V,?,3,?,?,
P330GCT-ND,Panasonic,ERJ-3GEYJ331V,?,1,?,?,
300-8475-ND,Citizen ,HC49US-5.000MABJ-UB,?,1,?,?,
475-1407-1-ND,OSRAM,LG N971-KN-1,?,1,?,?,
MBR130LSFT1GOSCT-ND,On Semi,MBR130LSFT1G,?,2,?,?,
679-2452-ND,APEM,MJTP1243,?,1,?,?,
MMBT3904LT3GOSCT-ND,ON Semi,MMBT3904LT3G,?,1,?,?,
NCP1117ST33T3GOSCT-ND,On Semi,NCP1117ST33T3G,?,1,?,?,
P8X32A-Q44-ND,Parallax,P8X32A-Q44,?,1,?,?,
311-1.0KGRCT-ND,Yaego,RC0603JR-071KL,?,3,?,?,
399-3685-1-ND,Kemet,T491A106M006AT,?,2,?,?,
