Digi-Key Part Number,Manufacturer Name,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,
478-1239-1-ND,AVX,0603YC104KAT2A,?,4,?,?,
CAT24C256WI-GT3OSCT-ND,OnSemi,CAT24C256WI-GT3,?,1,?,?,
P10KGCT-ND,Panasonic,ERJ-3GEYJ103V,?,2,?,?,
P330GCT-ND,Panasonic,ERJ-3GEYJ331V,?,1,?,?,
300-8475-ND,Citizen ,HC49US-5.000MABJ-UB,?,1,?,?,
475-1407-1-ND,OSRAM,LG N971-KN-1,?,1,?,?,
679-2452-ND,APEM,MJTP1243,?,1,?,?,
P8X32A-Q44-ND,Parallax,P8X32A-Q44,?,1,?,?,
568-6826-1-ND,NXP,PMEG2015EA,115,?,2,?,?,
311-1.0KGRCT-ND,Yaego,RC0603JR-071KL,?,3,?,?,
1016-1237-5-ND,Exar,SPX1117M3-L-3-3,?,1,?,?,
399-3685-1-ND,Kemet,T491A106M006AT,?,2,?,?,
